,Namn,Land,Pris(SEK),Literpris,Produktnummer,Förpackning,Volym(mml),Alkoholhalt(%),Sockerhalt(gram/l),passar_till,rawdata,rawdata1,Årgång,Doft,Färg,Råvaror,Smakbeskrivning,Lamm,Nöt,Fågel,Fläsk,Dessert,Vilt,Ost,nyanserad,komplex,fruktig,kryddig,fatkaraktär,utvecklad,bärig,fat,ungdomlig,Flaska,Box,Magnum,PET-flaska,Italien,Frankrike,Spanien,USA,Sydafrika,Australien,Argentina,Chile,Portugal,Nya Zeeland,Österrike
0,Brunello di Montalcino,Italien,299,"Jfr.pris 398,67 kr/l', 'Jfr.pris 398,67 kr/l",['95447'],Flaska 750 ml,750.0,14.0,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","Sangiovese.', 'Mörk, röd färg med tegelnyans.', 'Nyanserad, något utvecklad doft med fatkaraktär, inslag av torkad frukt, tobak, choklad, aprikos, nötter och pomerans.', 'Nyanserad, något utvecklad smak med fatkaraktär, inslag av torkad frukt, tobak, choklad, aprikos, nötter, kanel, rosor och pomerans.', 'Kan lagras.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorSangiovese.FärgMörk, röd färg med tegelnyans.DoftNyanserad, något utvecklad doft med fatkaraktär, inslag av torkad frukt, tobak, choklad, aprikos, nötter och pomerans.SmakbeskrivningNyanserad, något utvecklad smak med fatkaraktär, inslag av torkad frukt, tobak, choklad, aprikos, nötter, kanel, rosor och pomerans.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2013'],"['Nyanserad, något utvecklad doft med fatkaraktär, inslag av torkad frukt, tobak, choklad, aprikos, nötter och pomerans']","['Mörk, röd färg med tegelnyans']",['Sangiovese'],"['nyanserad, något utvecklad smak med fatkaraktär, inslag av torkad frukt, tobak, choklad, aprikos, nötter, kanel, rosor och pomerans']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Barolo Falletto,Italien,1949,"Jfr.pris 2 598,67 kr/l', 'Jfr.pris 2 598,67 kr/l",['92071'],Flaska 750 ml,750.0,15.0,[],Null,Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2014'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Barolo Falletto Vigna Le Roche,Italien,4299,"Jfr.pris 5 732,00 kr/l', 'Jfr.pris 5 732,00 kr/l",['92073'],Flaska 750 ml,750.0,14.5,[],Null,Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2012'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Gattinara,Italien,289,"Jfr.pris 385,33 kr/l', 'Jfr.pris 385,33 kr/l",['92088'],Flaska 750 ml,750.0,14.0,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","Nebbiolo.', 'Tegelröd färg.', 'Komplex, utvecklad, kryddig doft med inslag av inslag av fat, torkade körsbär, kanel, nypon, nougat, rosor och svart te.', 'Komplex, utvecklad smak med inslag av fat, torkade körsbär, kanel, nougat, rosor, ceder och svart te.', 'Kan lagras.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorNebbiolo.FärgTegelröd färg.DoftKomplex, utvecklad, kryddig doft med inslag av inslag av fat, torkade körsbär, kanel, nypon, nougat, rosor och svart te.SmakbeskrivningKomplex, utvecklad smak med inslag av fat, torkade körsbär, kanel, nougat, rosor, ceder och svart te.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2013'],"['Komplex, utvecklad, kryddig doft med inslag av inslag av fat, torkade körsbär, kanel, nypon, nougat, rosor och svart te']",['Tegelröd färg'],['Nebbiolo'],"['komplex, utvecklad smak med inslag av fat, torkade körsbär, kanel, nougat, rosor, ceder och svart te']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bolgaré,Bulgarien,69,"Jfr.pris 92,00 kr/l', 'Jfr.pris 92,00 kr/l",['2110'],Flaska 750 ml,750.0,13.5,['3'],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Fläsk', 'Lamm","70% syrah och 30% merlot.', 'Tät, mörk, blåröd färg.', 'Fruktig, något kryddig doft med inslag av fat, björnbär, lagerblad, plommon och choklad.', 'Fruktig, något kryddig smak med inslag av fat, björnbär, lagerblad, plommon och choklad.', 'Serveras vid 16-18°C till rätter av fläsk- eller lammkött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","Råvaror70% syrah och 30% merlot.FärgTät, mörk, blåröd färg.DoftFruktig, något kryddig doft med inslag av fat, björnbär, lagerblad, plommon och choklad.SmakbeskrivningFruktig, något kryddig smak med inslag av fat, björnbär, lagerblad, plommon och choklad.FyllighetFruktsyraSträvhetPassar tillServeras vid 16-18°C till rätter av fläsk- eller lammkött.FläskLammAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2017'],"['Fruktig, något kryddig doft med inslag av fat, björnbär, lagerblad, plommon och choklad']","['Tät, mörk, blåröd färg']",['70% syrah och 30% merlot'],"['fruktig, något kryddig smak med inslag av fat, björnbär, lagerblad, plommon och choklad']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Contino Viña del Olivo,Spanien,719,"Jfr.pris 958,67 kr/l', 'Jfr.pris 958,67 kr/l",['95967'],Flaska 750 ml,750.0,14.0,[],Null,"90% tempranillo och 10% graciano.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",Råvaror90% tempranillo och 10% graciano.AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2016'],[],[],['90% tempranillo och 10% graciano'],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Adobe,Chile,77,"Jfr.pris 102,67 kr/l', 'Jfr.pris 102,67 kr/l",['6853'],Flaska 750 ml,750.0,13.5,['3'],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Fläsk', 'Lamm', 'Nöt","Cabernet sauvignon.', 'Mörk, blåröd färg.', 'Fruktig doft med inslag av fat, svarta vinbär, färska örter, skogshallon, kaffe och lakrits.', 'Fruktig smak med inslag av fat, svarta vinbär, färska örter, hallon, kaffe, vanilj och peppar.', 'Serveras vid 16-18°C till rätter av fläsk-, lamm- eller nötkött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorCabernet sauvignon.FärgMörk, blåröd färg.DoftFruktig doft med inslag av fat, svarta vinbär, färska örter, skogshallon, kaffe och lakrits.SmakbeskrivningFruktig smak med inslag av fat, svarta vinbär, färska örter, hallon, kaffe, vanilj och peppar.FyllighetFruktsyraSträvhetPassar tillServeras vid 16-18°C till rätter av fläsk-, lamm- eller nötkött.FläskLammNötAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2018'],"['Fruktig doft med inslag av fat, svarta vinbär, färska örter, skogshallon, kaffe och lakrits']","['Mörk, blåröd färg']",['Cabernet sauvignon'],"['fruktig smak med inslag av fat, svarta vinbär, färska örter, hallon, kaffe, vanilj och peppar']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Marqués de Cáceres,Spanien,89,"Jfr.pris 118,67 kr/l', 'Jfr.pris 118,67 kr/l",['2734'],Flaska 750 ml,750.0,14.0,['3'],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt","85% tempranillo samt 15% garnacha och graciano.', 'Mörk, blåröd färg.', 'Kryddig doft med fatkaraktär, inslag av mörka körsbär, plommon, vanilj, ceder och choklad.', 'Kryddig smak med fatkaraktär, inslag av mörka körsbär, plommon, kanel, choklad och vanilj.', 'Serveras vid 16-18°C till rätter av lamm- eller nötkött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","Råvaror85% tempranillo samt 15% garnacha och graciano.FärgMörk, blåröd färg.DoftKryddig doft med fatkaraktär, inslag av mörka körsbär, plommon, vanilj, ceder och choklad.SmakbeskrivningKryddig smak med fatkaraktär, inslag av mörka körsbär, plommon, kanel, choklad och vanilj.FyllighetFruktsyraSträvhetPassar tillServeras vid 16-18°C till rätter av lamm- eller nötkött.LammNötAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2015'],"['Kryddig doft med fatkaraktär, inslag av mörka körsbär, plommon, vanilj, ceder och choklad']","['Mörk, blåröd färg']",['85% tempranillo samt 15% garnacha och graciano'],"['kryddig smak med fatkaraktär, inslag av mörka körsbär, plommon, kanel, choklad och vanilj']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Chateau Cantenac Brown,Frankrike,675,"Jfr.pris 900,00 kr/l', 'Jfr.pris 900,00 kr/l",['95514'],Flaska 750 ml,750.0,13.5,[],Null,"Cabernet sauvignon, merlot och cabernet franc.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorCabernet sauvignon, merlot och cabernet franc.AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2016'],[],[],"['Cabernet sauvignon, merlot och cabernet franc']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Masi Bonacosta,Italien,65,"Jfr.pris 173,33 kr/l', 'Jfr.pris 173,33 kr/l",['6998'],Flaska 375 ml,375.0,12.0,['3'],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Buffémat', 'Fisk', 'Fågel', 'Fläsk","Corvina, rondinella och molinara.', 'Mörk, rödblå färg.', 'Bärig doft med inslag av körsbär, hallon, sötlakrits och örter.', 'Bärig smak med inslag av körsbär, skogshallon, örter och lakrits.', 'Serveras vid cirka 16°C till lättare rätter av ljust kött eller till stekt fisk.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorCorvina, rondinella och molinara.FärgMörk, rödblå färg.DoftBärig doft med inslag av körsbär, hallon, sötlakrits och örter.SmakbeskrivningBärig smak med inslag av körsbär, skogshallon, örter och lakrits.FyllighetFruktsyraSträvhetPassar tillServeras vid cirka 16°C till lättare rätter av ljust kött eller till stekt fisk.BuffématFiskFågelFläskAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2018'],"['Bärig doft med inslag av körsbär, hallon, sötlakrits och örter']","['Mörk, rödblå färg']","['Corvina, rondinella och molinara']","['bärig smak med inslag av körsbär, skogshallon, örter och lakrits']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
